symbol,name,suffix,market,sector
PH,Parker Hannifin,,US,Industrials
PAYX,Paychex,,US,Industrials
PYPL,PayPal,,US,Financials
PNR,Pentair,,US,Industrials
PEP,PepsiCo,,US,Consumer Staples
PFE,Pfizer,,US,Health Care
PCG,PG&E Corporation,,US,Utilities
PM,Philip Morris International,,US,Consumer Staples
PSX,Phillips 66,,US,Energy
PNW,Pinnacle West Capital,,US,Utilities
PNC,PNC Financial Services,,US,Financials
PPG,PPG Industries,,US,Materials
PPL,PPL Corporation,,US,Utilities
PFG,Principal Financial Group,,US,Financials
PG,Procter & Gamble,,US,Consumer Staples
PGR,Progressive Corporation,,US,Financials
PLD,Prologis,,US,Real Estate
PRU,Prudential Financial,,US,Financials
PEG,Public Service Enterprise Group,,US,Utilities
PTC,PTC Inc.,,US,Information Technology
PSA,Public Storage,,US,Real Estate
PHM,PulteGroup,,US,Consumer Discretionary
PWR,Quanta Services,,US,Industrials
QCOM,Qualcomm,,US,Information Technology
DGX,Quest Diagnostics,,US,Health Care
Q,Qnity Electronics,,US,Information Technology
RL,Ralph Lauren Corporation,,US,Consumer Discretionary
RJF,Raymond James Financial,,US,Financials
RTX,RTX Corporation,,US,Industrials
O,Realty Income,,US,Real Estate
REG,Regency Centers,,US,Real Estate
REGN,Regeneron Pharmaceuticals,,US,Health Care
RF,Regions Financial Corporation,,US,Financials
RSG,Republic Services,,US,Industrials
RMD,ResMed,,US,Health Care
RVTY,Revvity,,US,Health Care
HOOD,Robinhood Markets,,US,Financials
ROK,Rockwell Automation,,US,Industrials
ROL,"Rollins, Inc.",,US,Industrials
ROP,Roper Technologies,,US,Information Technology
ROST,Ross Stores,,US,Consumer Discretionary
RCL,Royal Caribbean Group,,US,Consumer Discretionary
SPGI,S&P Global,,US,Financials
CRM,Salesforce,,US,Information Technology
SNDK,Sandisk,,US,Information Technology
SBAC,SBA Communications,,US,Real Estate
SLB,Schlumberger,,US,Energy
STX,Seagate Technology,,US,Information Technology
SRE,Sempra,,US,Utilities
NOW,ServiceNow,,US,Information Technology
SHW,Sherwin-Williams,,US,Materials
SPG,Simon Property Group,,US,Real Estate
SWKS,Skyworks Solutions,,US,Information Technology
SJM,J.M. Smucker Company (The),,US,Consumer Staples
SW,Smurfit Westrock,,US,Materials
SNA,Snap-on,,US,Industrials
SOLV,Solventum,,US,Health Care
SO,Southern Company,,US,Utilities
LUV,Southwest Airlines,,US,Industrials
SWK,Stanley Black & Decker,,US,Industrials
SBUX,Starbucks,,US,Consumer Discretionary
STT,State Street Corporation,,US,Financials
STLD,Steel Dynamics,,US,Materials
STE,Steris,,US,Health Care
SYK,Stryker Corporation,,US,Health Care
SMCI,Supermicro,,US,Information Technology
SYF,Synchrony Financial,,US,Financials
SNPS,Synopsys,,US,Information Technology
SYY,Sysco,,US,Consumer Staples
TMUS,T-Mobile US,,US,Communication Services
TROW,T. Rowe Price,,US,Financials
TTWO,Take-Two Interactive,,US,Communication Services
TPR,"Tapestry, Inc.",,US,Consumer Discretionary
TRGP,Targa Resources,,US,Energy
TGT,Target Corporation,,US,Consumer Staples
TEL,TE Connectivity,,US,Information Technology
TDY,Teledyne Technologies,,US,Information Technology
TER,Teradyne,,US,Information Technology
TSLA,"Tesla, Inc.",,US,Consumer Discretionary
TXN,Texas Instruments,,US,Information Technology
TPL,Texas Pacific Land Corporation,,US,Energy
TXT,Textron,,US,Industrials
TMO,Thermo Fisher Scientific,,US,Health Care
TJX,TJX Companies,,US,Consumer Discretionary
TKO,TKO Group Holdings,,US,Communication Services
TTD,Trade Desk (The),,US,Communication Services
TSCO,Tractor Supply,,US,Consumer Discretionary
TT,Trane Technologies,,US,Industrials
TDG,TransDigm Group,,US,Industrials
TRV,Travelers Companies (The),,US,Financials
TRMB,Trimble Inc.,,US,Information Technology
TFC,Truist Financial,,US,Financials
TYL,Tyler Technologies,,US,Information Technology
TSN,Tyson Foods,,US,Consumer Staples
USB,U.S. Bancorp,,US,Financials
UBER,Uber,,US,Industrials
UDR,"UDR, Inc.",,US,Real Estate
ULTA,Ulta Beauty,,US,Consumer Discretionary
UNP,Union Pacific Corporation,,US,Industrials
UAL,United Airlines Holdings,,US,Industrials
UPS,United Parcel Service,,US,Industrials
URI,United Rentals,,US,Industrials
UNH,UnitedHealth Group,,US,Health Care
UHS,Universal Health Services,,US,Health Care
VLO,Valero Energy,,US,Energy
VEEV,Veeva Systems,,US,Health Care
VTR,Ventas,,US,Real Estate
VLTO,Veralto,,US,Industrials
VRSN,Verisign,,US,Information Technology
VRSK,Verisk Analytics,,US,Industrials
VZ,Verizon,,US,Communication Services
VRTX,Vertex Pharmaceuticals,,US,Health Care
VRT,Vertiv,,US,Industrials
VTRS,Viatris,,US,Health Care
VICI,Vici Properties,,US,Real Estate
V,Visa Inc.,,US,Financials
VST,Vistra Corp.,,US,Utilities
VMC,Vulcan Materials Company,,US,Materials
WRB,W. R. Berkley Corporation,,US,Financials
GWW,W. W. Grainger,,US,Industrials
WAB,Wabtec,,US,Industrials
WMT,Walmart,,US,Consumer Staples
DIS,Walt Disney Company (The),,US,Communication Services
WBD,Warner Bros. Discovery,,US,Communication Services
WM,Waste Management,,US,Industrials
WAT,Waters Corporation,,US,Health Care
WEC,WEC Energy Group,,US,Utilities
WFC,Wells Fargo,,US,Financials
WELL,Welltower,,US,Real Estate
WST,West Pharmaceutical Services,,US,Health Care
WDC,Western Digital,,US,Information Technology
WY,Weyerhaeuser,,US,Real Estate
WSM,"Williams-Sonoma, Inc.",,US,Consumer Discretionary
WMB,Williams Companies,,US,Energy
WTW,Willis Towers Watson,,US,Financials
WDAY,"Workday, Inc.",,US,Information Technology
WYNN,Wynn Resorts,,US,Consumer Discretionary
XEL,Xcel Energy,,US,Utilities
XYL,Xylem Inc.,,US,Industrials
YUM,Yum! Brands,,US,Consumer Discretionary
ZBRA,Zebra Technologies,,US,Information Technology
ZBH,Zimmer Biomet,,US,Health Care
ZTS,Zoetis,,US,Health Care
